state_name,state_code,date,day_num,pfe_dose_1,pfe_dose_2,mrna_dose_1,mrna_dose_2,jnj_dose_1
Georgia,GA,04/12/2021,119,139230,139230,103000.0,103000.0,17600.0
Kentucky,KY,04/12/2021,119,62010,62010,45300.0,45300.0,7800.0
Mississippi,MS,04/12/2021,119,40950,40950,30000.0,30000.0,5100.0
North Carolina,NC,04/12/2021,119,140400,140400,103900.0,103900.0,17700.0
South Carolina,SC,04/12/2021,119,69030,69030,51000.0,51000.0,8700.0
Tennessee,TN,04/12/2021,119,92430,92430,68100.0,68100.0,11600.0
Chicago,,04/12/2021,119,37440,37440,27700.0,27700.0,4800.0
Illinois,IL,04/12/2021,119,139230,139230,103100.0,103100.0,17600.0
Indiana,IN,04/12/2021,119,91260,91260,66900.0,66900.0,11400.0
Michigan,MI,04/12/2021,119,139230,139230,102600.0,102600.0,17500.0
Minnesota,MN,04/12/2021,119,76050,76050,56200.0,56200.0,9600.0
Ohio,OH,04/12/2021,119,161460,161460,119300.0,119300.0,20300.0
Wisconsin,WI,04/12/2021,119,80730,80730,59700.0,59700.0,10200.0
Arkansas,AR,04/12/2021,119,40950,40950,30200.0,30200.0,5200.0
Louisiana,LA,04/12/2021,119,64350,64350,47000.0,47000.0,8000.0
New Mexico,NM,04/12/2021,119,29250,29250,21400.0,21400.0,3700.0
Oklahoma,OK,04/12/2021,119,53820,53820,39200.0,39200.0,6700.0
Texas,TX,04/12/2021,119,367380,367380,272100.0,272100.0,46300.0
Iowa,IA,04/12/2021,119,43290,43290,31800.0,31800.0,5400.0
Kansas,KS,04/12/2021,119,39780,39780,29000.0,29000.0,5000.0
Missouri,MO,04/12/2021,119,84240,84240,62200.0,62200.0,10600.0
Nebraska,NE,04/12/2021,119,26910,26910,19200.0,19200.0,3300.0
Colorado,CO,04/12/2021,119,76050,76050,56500.0,56500.0,9700.0
Montana,MT,04/12/2021,119,15210,15210,10800.0,10800.0,1900.0
North Dakota,ND,04/12/2021,119,10530,10530,7800.0,7800.0,1400.0
South Dakota,SD,04/12/2021,119,11700,11700,8700.0,8700.0,1500.0
Utah,UT,04/12/2021,119,38610,38610,28300.0,28300.0,4900.0
Wyoming,WY,04/12/2021,119,8190,8190,5900.0,5900.0,1000.0
Arizona,AZ,04/12/2021,119,95940,95940,70600.0,70600.0,12000.0
California,CA,04/12/2021,119,535860,535860,397400.0,397400.0,67600.0
Hawaii,HI,04/12/2021,119,19890,19890,14800.0,14800.0,2600.0
Nevada,NV,04/12/2021,119,40950,40950,29800.0,29800.0,5100.0
American Samoa,AS,04/12/2021,119,0,0,0.0,0.0,0.0
Guam,GU,04/12/2021,119,0,0,0.0,0.0,0.0
Marshall Islands,MH,04/12/2021,119,0,0,0.0,0.0,0.0
Micronesia,FM,04/12/2021,119,0,0,0.0,0.0,0.0
Mariana Islands,,04/12/2021,119,0,0,0.0,0.0,0.0
Palau,PW,04/12/2021,119,0,0,0.0,0.0,0.0
Alaska,AK,04/12/2021,119,0,0,0.0,0.0,1900.0
Idaho,ID,04/12/2021,119,23400,23400,16600.0,16600.0,2900.0
Oregon,OR,04/12/2021,119,58500,58500,42700.0,42700.0,7300.0
Washington,WA,04/12/2021,119,102960,102960,75700.0,75700.0,12900.0
Federal Entities,,04/12/2021,119,201240,201240,149400.0,149400.0,129600.0
Connecticut,CT,04/05/2021,112,50310,50310,37400.0,37400.0,53900.0
Maine,ME,04/05/2021,112,19890,19890,14300.0,14300.0,20600.0
Massachusetts,MA,04/05/2021,112,95940,95940,72100.0,72100.0,103800.0
New Hampshire,NH,04/05/2021,112,19890,19890,14300.0,14300.0,20600.0
Rhode Island,RI,04/05/2021,112,15210,15210,11300.0,11300.0,16200.0
Vermont,VT,04/05/2021,112,9360,9360,6700.0,6700.0,9700.0
New Jersey,NJ,04/05/2021,112,120510,120510,91300.0,91300.0,131600.0
New York,NY,04/05/2021,112,153270,153270,116300.0,116300.0,167600.0
New York City,,04/05/2021,112,117000,117000,88300.0,88300.0,127200.0
Puerto Rico,PR,04/05/2021,112,47970,47970,35700.0,35700.0,51400.0
U.S. Virgin Islands,,04/05/2021,112,2340,2340,1100.0,1100.0,1600.0
Delaware,DE,04/05/2021,112,14040,14040,9900.0,9900.0,14300.0
District of Columbia,DC,04/05/2021,112,10530,10530,7500.0,7500.0,10800.0
Maryland,MD,04/05/2021,112,81900,81900,61600.0,61600.0,88800.0
Pennsylvania,PA,04/05/2021,112,155610,155610,117500.0,117500.0,169200.0
Philadelphia,,04/05/2021,112,22230,22230,16300.0,16300.0,23500.0
Virginia,VA,04/05/2021,112,114660,114660,86500.0,86500.0,124700.0
West Virginia,WV,04/05/2021,112,25740,25740,19300.0,19300.0,27800.0
Alabama,AL,04/05/2021,112,66690,66690,49800.0,49800.0,71800.0
Florida,FL,04/05/2021,112,286650,286650,217400.0,217400.0,313200.0
Georgia,GA,04/05/2021,112,136890,136890,103000.0,103000.0,148500.0
Kentucky,KY,04/05/2021,112,60840,60840,45300.0,45300.0,65300.0
Mississippi,MS,04/05/2021,112,39780,39780,30000.0,30000.0,43200.0
North Carolina,NC,04/05/2021,112,138060,138060,103900.0,103900.0,149800.0
South Carolina,SC,04/05/2021,112,67860,67860,51000.0,51000.0,73500.0
Tennessee,TN,04/05/2021,112,90090,90090,68100.0,68100.0,98100.0
Chicago,,04/05/2021,112,37440,37440,27700.0,27700.0,39900.0
Illinois,IL,04/05/2021,112,136890,136890,103100.0,103100.0,148600.0
Indiana,IN,04/05/2021,112,88920,88920,66900.0,66900.0,96500.0
Michigan,MI,04/05/2021,112,135720,135720,102600.0,102600.0,147800.0
Minnesota,MN,04/05/2021,112,74880,74880,56200.0,56200.0,80800.0
Ohio,OH,04/05/2021,112,157950,157950,119300.0,119300.0,171900.0
Wisconsin,WI,04/05/2021,112,79560,79560,59700.0,59700.0,85900.0
Arkansas,AR,04/05/2021,112,39780,39780,30200.0,30200.0,43500.0
Louisiana,LA,04/05/2021,112,62010,62010,47000.0,47000.0,67700.0
New Mexico,NM,04/05/2021,112,29250,29250,21400.0,21400.0,30800.0
Oklahoma,OK,04/05/2021,112,52650,52650,39200.0,39200.0,56400.0
Texas,TX,04/05/2021,112,359190,359190,272100.0,272100.0,392100.0
Iowa,IA,04/05/2021,112,42120,42120,31800.0,31800.0,45800.0
Kansas,KS,04/05/2021,112,38610,38610,29000.0,29000.0,41800.0
Missouri,MO,04/05/2021,112,83070,83070,62200.0,62200.0,89600.0
Nebraska,NE,04/05/2021,112,25740,25740,19200.0,19200.0,27600.0
Colorado,CO,04/05/2021,112,74880,74880,56500.0,56500.0,81400.0
Montana,MT,04/05/2021,112,15210,15210,10800.0,10800.0,15600.0
North Dakota,ND,04/05/2021,112,10530,10530,7800.0,7800.0,11300.0
South Dakota,SD,04/05/2021,112,11700,11700,8700.0,8700.0,12500.0
Utah,UT,04/05/2021,112,37440,37440,28300.0,28300.0,40700.0
Wyoming,WY,04/05/2021,112,8190,8190,5900.0,5900.0,8500.0
Arizona,AZ,04/05/2021,112,93600,93600,70600.0,70600.0,101700.0
California,CA,04/05/2021,112,524160,524160,397400.0,397400.0,572700.0
Hawaii,HI,04/05/2021,112,19890,19890,14800.0,14800.0,21300.0
Nevada,NV,04/05/2021,112,39780,39780,29800.0,29800.0,42900.0
American Samoa,AS,04/05/2021,112,0,0,0.0,0.0,3700.0
Guam,GU,04/05/2021,112,0,0,0.0,0.0,16900.0
Marshall Islands,MH,04/05/2021,112,0,0,0.0,0.0,9600.0
Micronesia,FM,04/05/2021,112,0,0,0.0,0.0,15900.0
Mariana Islands,,04/05/2021,112,0,0,0.0,0.0,1600.0
Palau,PW,04/05/2021,112,0,0,0.0,0.0,3200.0
Alaska,AK,04/05/2021,112,0,0,0.0,0.0,15800.0
