,state_name,state_code,date,day_num,total_cases,confirmed_cases,probable_cases,new_cases,pnew_cases,total_deaths,confirmed_deaths,probable_deaths,new_deaths,pnew_deaths,consent_cases,consent_deaths,created_at
19620,Alaska,AK,12/14/2020,0,40160,0.0,0.0,422,0.0,175,0.0,0.0,0,0.0,0,0,12/15/2020 14:39
19621,Alabama,AL,12/14/2020,0,297895,244762.0,53133.0,2264,332.0,4102,3624.0,478.0,0,0.0,Agree,Agree,12/15/2020 14:39
19622,Arkansas,AR,12/14/2020,0,187057,0.0,0.0,1355,122.0,2990,0.0,0.0,45,22.0,Not agree,Not agree,12/15/2020 14:39
19623,American Samoa,AS,12/14/2020,0,3,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,12/15/2020 14:39
19624,Arizona,AZ,12/14/2020,0,420248,404294.0,15954.0,11806,503.0,7358,6782.0,576.0,1,-2.0,Agree,Agree,12/15/2020 14:39
19625,California,CA,12/14/2020,0,1585044,0.0,0.0,33278,0.0,21046,0.0,0.0,77,0.0,Not agree,Not agree,12/15/2020 14:39
19626,Colorado,CO,12/14/2020,0,291104,279278.0,11826.0,2911,23.0,3969,3398.0,571.0,11,1.0,Agree,Agree,12/15/2020 14:39
19627,Connecticut,CT,12/14/2020,0,153992,144793.0,9199.0,7231,229.0,5444,4397.0,1047.0,81,16.0,Agree,Agree,12/15/2020 14:39
19628,District of Columbia,DC,12/14/2020,0,25038,0.0,0.0,164,0.0,716,0.0,0.0,1,0.0,0,0,12/15/2020 14:39
19629,Delaware,DE,12/14/2020,0,46457,44708.0,1749.0,997,8.0,816,719.0,97.0,0,0.0,Agree,Agree,12/15/2020 14:39
19630,Florida,FL,12/14/2020,0,1115446,0.0,0.0,8343,2546.0,20003,0.0,0.0,137,3.0,Not agree,Not agree,12/15/2020 14:39
19631,,FSM,12/14/2020,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,Agree,Agree,12/15/2020 14:39
19632,Georgia,GA,12/14/2020,0,546558,479340.0,67218.0,3720,424.0,10104,9218.0,886.0,28,15.0,Agree,Agree,12/15/2020 14:39
19633,Guam,GU,12/14/2020,0,7149,0.0,0.0,12,2.0,119,0.0,0.0,0,0.0,Not agree,Not agree,12/15/2020 14:39
19634,Hawaii,HI,12/14/2020,0,19125,0.0,0.0,187,0.0,272,0.0,0.0,0,0.0,Not agree,Not agree,12/15/2020 14:39
19635,Iowa,IA,12/14/2020,0,257332,0.0,0.0,973,310.0,3273,0.0,0.0,60,60.0,Not agree,Not agree,12/15/2020 14:39
19636,Idaho,ID,12/14/2020,0,122217,102340.0,19877.0,1038,175.0,1194,1075.0,119.0,19,2.0,Agree,Agree,12/15/2020 14:39
19637,Illinois,IL,12/14/2020,0,856118,856118.0,0.0,7214,0.0,15455,14394.0,1061.0,116,13.0,Agree,Agree,12/15/2020 14:39
19638,Indiana,IN,12/14/2020,0,430401,0.0,0.0,4967,0.0,6840,6530.0,310.0,35,0.0,Not agree,Agree,12/15/2020 14:39
19639,Kansas,KS,12/14/2020,0,190018,162147.0,27871.0,4724,663.0,2109,0.0,0.0,37,4.0,Agree,0,12/15/2020 14:39
19640,Kentucky,KY,12/14/2020,0,224890,184072.0,40818.0,1786,277.0,2224,2098.0,126.0,17,0.0,Agree,Agree,12/15/2020 14:39
19641,Louisiana,LA,12/14/2020,0,269643,0.0,0.0,1030,39.0,6845,6535.0,310.0,27,3.0,Not agree,Agree,12/15/2020 14:39
19642,Massachusetts,MA,12/14/2020,0,293042,283146.0,9896.0,3572,0.0,11343,11135.0,208.0,37,0.0,Agree,Agree,12/15/2020 14:39
19643,Maryland,MD,12/14/2020,0,239362,0.0,0.0,2401,0.0,5206,5039.0,167.0,64,3.0,0,Agree,12/15/2020 14:39
19644,Maine,ME,12/14/2020,0,16744,14673.0,2071.0,410,61.0,265,261.0,4.0,6,0.0,Agree,Agree,12/15/2020 14:39
19645,Michigan,MI,12/14/2020,0,472780,437985.0,34795.0,7621,416.0,11289,10752.0,537.0,94,4.0,Agree,Agree,12/15/2020 14:39
19646,Minnesota,MN,12/14/2020,0,381841,0.0,0.0,3018,210.0,4521,4350.0,171.0,18,2.0,0,Agree,12/15/2020 14:39
19647,Missouri,MO,12/14/2020,0,379739,0.0,0.0,3674,781.0,4514,0.0,0.0,0,0.0,Not agree,Not agree,12/15/2020 9:39
19648,Northern Mariana Islands,MP,12/14/2020,0,113,113.0,0.0,0,0.0,2,2.0,0.0,0,0.0,Agree,Agree,12/15/2020 14:39
19649,Mississippi,MS,12/14/2020,0,183300,135105.0,48195.0,2205,1369.0,4252,3555.0,697.0,48,19.0,Agree,Agree,12/15/2020 14:39
19650,Montana,MT,12/14/2020,0,73303,73303.0,0.0,0,0.0,818,818.0,0.0,0,0.0,Agree,Agree,12/15/2020 14:39
19651,North Carolina,NC,12/14/2020,0,441365,410470.0,30895.0,4770,474.0,5855,5615.0,240.0,32,5.0,Agree,Agree,12/15/2020 14:39
